Asset,Quote,Provider,Deploy,Whitelist,Class,pyth,base,quote,feedId,maxStaleness,maxConfWidth
CFX,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x8879170230c9603342f3837cf9a8e76c61791198fb1271bb2552c9af7b33c933,120,300
CHR,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x8a2279d4a90b6fe1c4b30fa660cc9f926797baa2,0x0000000000000000000000000000000000000348,0xbd4dbcbfd90e6bc6c583e07ffcb5cb6d09a0c7b1221805211ace08c837859627,120,300
CHZ,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x3506424f91fd33084466f402d5d97f05f8e3b4af,0x0000000000000000000000000000000000000348,0xe799f456b358a2534aa1b45141d454ac04b444ed23b1440b778549bb758f2b5c,120,300
CITY,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x9c479b12a2b2c1051715d4d462dd7a6abbb6dccabf3af31a53f6130a1cd88efc,120,300
COMP,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xc00e94cb662c3520282e6f5717214004a7f26888,0x0000000000000000000000000000000000000348,0x4a8e42861cabc5ecb50996f92e7cfa2bce3fd0a2423b0c44c9b423fb2bd25478,120,300
COQ,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x5cc87aaa7df22e5ac77f6a4bc50569129eb00396fd9fd68569e748e7e96fdf90,120,300
CORE,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x62359ed7505efc61ff1d56fef82158ccaffa23d7,0x0000000000000000000000000000000000000348,0x9b4503710cc8c53f75c30e6e4fda1a7064680ef2e0ee97acd2e3a7c37b3c830c,120,300
COW,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xDEf1CA1fb7FBcDC777520aa7f396b4E015F497aB,0x0000000000000000000000000000000000000348,0x4e53c6ef1f2f9952facdcf64551edb6d2a550985484ccce6a0477cae4c1bca3e,120,300
CRO,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,0x0000000000000000000000000000000000000348,0x23199c2bcb1303f667e733b9934db9eca5991e765b45f5ed18bc4b231415f2fe,120,300
CRV,USD,Pyth,Yes,Yes,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xD533a949740bb3306d119CC777fa900bA034cd52,0x0000000000000000000000000000000000000348,0xa19d04ac696c7a6616d291c7e5d1377cc8be437c327b75adb5dc1bad745fcae8,120,300
CSPR,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x4871d73dd24d2c92a531ce571d48da9a5f22ff946bd5b37bc38c6f479c7df158,120,300
CTSI,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x491604c0fdf08347dd1fa4ee062a822a5dd06b5d,0x0000000000000000000000000000000000000348,0x14eb6f846b84f37c841ce7a52a38706e54966df84b3a09cc40499b164af05672,120,300
CUSD,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x8f218655050a1476b780185e89f19d2b1e1f49e9bd629efad6ac547a946bf6ab,120,300
CVX,USD,Pyth,Yes,Yes,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,0x0000000000000000000000000000000000000348,0x6aac625e125ada0d2a6b98316493256ca733a5808cd34ccef79b0e28c64d1e76,120,300
DAI,USD,Pyth,Yes,Yes,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x6b175474e89094c44da98b954eedeac495271d0f,0x0000000000000000000000000000000000000348,0xb0948a5e5313200c632b51bb5ca32f6de0d36e9950a942d19751e833f70dabfd,120,300
DAR,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0xd57d90cd8554ea0cf8268de30d5ad67fed9a8f11cce5132a49eb687aed832ea6,120,300
DASH,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x6147ae2020c6ff95f7c961f79660020f36fa72cea06452a866d5788cbedf61f3,120,300
