Asset,Quote,Provider,Deploy,Whitelist,Class,base,quote,feedIdString,feedDecimals,maxStaleness
USDC,USDT,RedStone Core,No,No,RedstoneCoreOracle,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDC.USDT,8,120
USDC,DAI,RedStone Core,No,No,RedstoneCoreOracle,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x6b175474e89094c44da98b954eedeac495271d0f,USDC.DAI,14,120
TRX,USD,RedStone Core,No,No,RedstoneCoreOracle,0x50327c6c5a14dcade707abad2e27eb517df87ab5,0x0000000000000000000000000000000000000348,TRX,8,120
PREMIA,USD,RedStone Core,No,No,RedstoneCoreOracle,0x6399C842dD2bE3dE30BF99Bc7D1bBF6Fa3650E70,0x0000000000000000000000000000000000000348,PREMIA,8,120
PREMIA,USD TWAP-60,RedStone Core,No,No,RedstoneCoreOracle,0x6399C842dD2bE3dE30BF99Bc7D1bBF6Fa3650E70,0x0000000000000000000000000000000000000348,PREMIA-TWAP-60,8,120
MNT,USD,RedStone Core,Yes,Yes,RedstoneCoreOracle,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,0x0000000000000000000000000000000000000348,MNT,8,120
TLOS,USD,RedStone Core,No,No,RedstoneCoreOracle,0x193f4A4a6ea24102F49b931DEeeb931f6E32405d,0x0000000000000000000000000000000000000348,TLOS,8,120
ETHx,USD,RedStone Core,Yes,Yes,RedstoneCoreOracle,0xA35b1B31Ce002FBF2058D22F30f95D405200A15b,0x0000000000000000000000000000000000000348,ETHx,8,120
ETHx,ETH,RedStone Core,Yes,Yes,RedstoneCoreOracle,0xA35b1B31Ce002FBF2058D22F30f95D405200A15b,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ETHx/ETH,8,120
TIA,USD,RedStone Core,No,No,RedstoneCoreOracle,N/A,0x0000000000000000000000000000000000000348,TIA,8,120
weETH,USD,RedStone Core,Yes,Yes,RedstoneCoreOracle,0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee,0x0000000000000000000000000000000000000348,weETH,8,120
weETH,ETH,RedStone Core,Yes,Yes,RedstoneCoreOracle,0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,weETH/ETH,8,120
weETH,ETH_FUNDAMENTAL,RedStone Core,Yes,Yes,RedstoneCoreOracle,0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,weETH_FUNDAMENTAL,8,120
rETH,USD,RedStone Core,Yes,Yes,RedstoneCoreOracle,0xae78736Cd615f374D3085123A210448E74Fc6393,0x0000000000000000000000000000000000000348,rETH,8,120
rETH,ETH,RedStone Core,Yes,Yes,RedstoneCoreOracle,0xae78736Cd615f374D3085123A210448E74Fc6393,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,rETH/ETH,8,120
osETH,USD,RedStone Core,Yes,Yes,RedstoneCoreOracle,0xf1C9acDc66974dFB6dEcB12aA385b9cD01190E38,0x0000000000000000000000000000000000000348,osETH,8,120
osETH,ETH,RedStone Core,Yes,Yes,RedstoneCoreOracle,0xf1C9acDc66974dFB6dEcB12aA385b9cD01190E38,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,osETH/ETH,8,120
pxETH,USD,RedStone Core,Yes,Yes,RedstoneCoreOracle,0x04C154b66CB340F3Ae24111CC767e0184Ed00Cc6,0x0000000000000000000000000000000000000348,pxETH,8,120
pxETH,ETH,RedStone Core,Yes,Yes,RedstoneCoreOracle,0x04C154b66CB340F3Ae24111CC767e0184Ed00Cc6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,pxETH/ETH,8,120
apxETH,USD,RedStone Core,Yes,Yes,RedstoneCoreOracle,0x9Ba021B0a9b958B5E75cE9f6dff97C7eE52cb3E6,0x0000000000000000000000000000000000000348,apxETH,8,120
apxETH,ETH,RedStone Core,Yes,Yes,RedstoneCoreOracle,0x9Ba021B0a9b958B5E75cE9f6dff97C7eE52cb3E6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,apxETH/ETH,8,120
