Asset,Quote,Provider,Deploy,Whitelist,Heartbeat,Deviation %,Class,base,quote,feed,maxStaleness,,,,,,,Asset class
SXP,USD,Chainlink,No,No,86400,1.00%,ChainlinkOracle,0x8CE9137d39326AD0cD6491fb5CC0CbA0e089b6A9,0x0000000000000000000000000000000000000348,0xFb0CfD6c19e25DB4a08D8a204a387cEa48Cc138f,90000,,,,,,,Crypto
TAO,USD,Chainlink,No,No,86400,2.00%,ChainlinkOracle,N/A,0x0000000000000000000000000000000000000348,0x1c88503c9A52aE6aaE1f9bb99b3b7e9b8Ab35459,90000,,,,,,,Crypto
TBTC,USD,Chainlink,Yes,Yes,86400,2.00%,ChainlinkOracle,0x18084fbA666a33d37592fA2633fD49a74DD93a88,0x0000000000000000000000000000000000000348,0x8350b7De6a6a2C1368E7D4Bd968190e13E354297,90000,,,,,,,Crypto
TUSD,ETH,Chainlink,Yes,Yes,86400,1.00%,ChainlinkOracle,0x0000000000085d4780B73119b644AE5ecd22b376,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x3886BA987236181D98F2401c507Fb8BeA7871dF2,90000,,,,,,,Crypto
TUSD,USD,Chainlink,Yes,Yes,3600,0.30%,ChainlinkOracle,0x0000000000085d4780B73119b644AE5ecd22b376,0x0000000000000000000000000000000000000348,0xec746eCF986E2927Abd291a2A1716c940100f8Ba,90000,,,,,,,Crypto
UNI,ETH,Chainlink,Yes,Yes,86400,2.00%,ChainlinkOracle,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xD6aA3D25116d8dA79Ea0246c4826EB951872e02e,90000,,,,,,,Crypto
UNI,USD,Chainlink,Yes,Yes,3600,1.00%,ChainlinkOracle,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0x0000000000000000000000000000000000000348,0x553303d460EE0afB37EdFf9bE42922D8FF63220e,7200,,,,,,,Crypto
USDC,ETH,Chainlink,Yes,Yes,86400,1.00%,ChainlinkOracle,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x986b5E1e1755e3C2440e960477f25201B0a8bbD4,90000,,,,,,,Crypto
USDC,USD,Chainlink,Yes,Yes,86400,0.25%,ChainlinkOracle,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x0000000000000000000000000000000000000348,0x8fFfFfd4AfB6115b954Bd326cbe7B4BA576818f6,90000,,,,,,,Crypto
USDD,USD,Chainlink,No,No,86400,1.00%,ChainlinkOracle,0x0c10bf8fcb7bf5412187a595ab97a3609160b5c6,0x0000000000000000000000000000000000000348,0x0ed39A19D2a68b722408d84e4d970827f61E6c0A,90000,,,,,,,Crypto
USDe,USD,Chainlink,Yes,Yes,86400,0.50%,ChainlinkOracle,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,0x0000000000000000000000000000000000000348,0xa569d910839Ae8865Da8F8e70FfFb0cBA869F961,90000,,,,,,,Crypto
USDP,USD,Chainlink,Yes,Yes,3600,1.00%,ChainlinkOracle,0x8E870D67F660D95d5be530380D0eC0bd388289E1,0x0000000000000000000000000000000000000348,0x09023c0DA49Aaf8fc3fA3ADF34C6A7016D38D5e3,7200,,,,,,,Crypto
USDT,ETH,Chainlink,Yes,Yes,86400,1.00%,ChainlinkOracle,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xEe9F2375b4bdF6387aa8265dD4FB8F16512A1d46,90000,,,,,,,Crypto
USDT,USD,Chainlink,Yes,Yes,86400,0.25%,ChainlinkOracle,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x0000000000000000000000000000000000000348,0x3E7d1eAB13ad0104d2750B8863b489D65364e32D,90000,,,,,,,Crypto
