Asset,Quote,Provider,Deploy,Whitelist,Heartbeat,Deviation %,Class,base,quote,feed,maxStaleness
LTC,USD,Chainlink,No,No,86400,0.5,ChainlinkOracle,N/A,0x0000000000000000000000000000000000000348,0x5698690a7B7B84F6aa985ef7690A8A7288FBc9c8,90000
LUSD,USD,Chainlink,Yes,Yes,86400,0.3,ChainlinkOracle,0x93b346b6BC2548dA6A1E7d98E9a421B42541425b,0x0000000000000000000000000000000000000348,0x0411D28c94d85A36bC72Cb0f875dfA8371D8fFfF,90000
MAGIC,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x539bdE0d7Dbd336b79148AA742883198BBF60342,0x0000000000000000000000000000000000000348,0x47E55cCec6582838E173f252D08Afd8116c2202d,90000
MATIC,USD,Chainlink,No,No,86400,0.5,ChainlinkOracle,N/A,0x0000000000000000000000000000000000000348,0x52099D4523531f678Dfc568a7B1e5038aadcE1d6,90000
MKR,USD,Chainlink,No,No,86400,0.5,ChainlinkOracle,N/A,0x0000000000000000000000000000000000000348,0xdE9f0894670c4EFcacF370426F10C3AD2Cdf147e,90000
MVI,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x0104a6FA30540DC1d9F45D2797F05eEa79304525,0x0000000000000000000000000000000000000348,0x87B679C03e9672Af516a9E08085e1F4FA1722A3D,90000
NEAR,USD,Chainlink,No,No,86400,0.5,ChainlinkOracle,N/A,0x0000000000000000000000000000000000000348,0xBF5C3fB2633e924598A46B9D07a174a9DBcF57C0,90000
OP,USD,Chainlink,No,No,86400,0.5,ChainlinkOracle,N/A,0x0000000000000000000000000000000000000348,0x205aaD468a11fd5D34fA7211bC6Bad5b3deB9b98,90000
osETH,ETH (EXCHANGE RATE),Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0xf7d4e7273E5015C96728A6b02f31C505eE184603,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xB4102D5E72c402D537C9f024F4bd9c3709FE200d,90000
PAXG,USD,Chainlink,No,No,86400,0.5,ChainlinkOracle,N/A,0x0000000000000000000000000000000000000348,0x2BA975D4D7922cD264267Af16F3bD177F206FE3c,90000
PENDLE,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x0c880f6761F1af8d9Aa9C466984b80DAb9a8c9e8,0x0000000000000000000000000000000000000348,0x66853E19d73c0F9301fe099c324A1E9726953433,90000
PEPE,USD,Chainlink,Yes,Yes,3600,0.5,ChainlinkOracle,0x25d887Ce7a35172C62FeBFD67a1856F20FaEbB00,0x0000000000000000000000000000000000000348,0x02DEd5a7EDDA750E3Eb240b54437a54d57b74dBE,7200
RDNT,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x3082CC23568eA640225c2467653dB90e9250AaA0,0x0000000000000000000000000000000000000348,0x20d0Fcab0ECFD078B036b6CAf1FaC69A6453b352,90000
RETH,ETH,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0xEC70Dcb4A1EFa46b8F2D97C310C9c4790ba5ffA8,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xD6aB2298946840262FcC278fF31516D39fF611eF,90000
rETH,ETH (EXCHANGE RATE),Chainlink,Yes,Yes,86400,0.2,ChainlinkOracle,0xEC70Dcb4A1EFa46b8F2D97C310C9c4790ba5ffA8,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xF3272CAfe65b190e76caAF483db13424a3e23dD2,90000
RPL,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0xB766039cc6DB368759C1E56B79AFfE831d0Cc507,0x0000000000000000000000000000000000000348,0xF0b7159BbFc341Cc41E7Cb182216F62c6d40533D,90000
RSETH,ETH,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x4186BFC76E2E237523CBC30FD220FE055156b41F,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xb0EA543f9F8d4B818550365d13F66Da747e1476A,90000
RSR,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0xCa5Ca9083702c56b481D1eec86F1776FDbd2e594,0x0000000000000000000000000000000000000348,0xcfF9349ec6d027f20fC9360117fef4a1Ad38B488,90000
rswETH,ETH,Chainlink,No,No,86400,0.5,ChainlinkOracle,N/A,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xC3534C27E3DE2ae861EB38889a1c8dCfEa4Cb39d,90000
rswETH,ETH (EXCHANGE RATE),Chainlink,No,No,86400,0.5,ChainlinkOracle,N/A,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x683989a7A6424122678164Ad26736bA484055B35,90000
sFRAX,FRAX (EXCHANGE RATE),Chainlink,Yes,No,86400,0.5,ChainlinkOracle,0xe3b3FE7bcA19cA77Ad877A5Bebab186bEcfAD906,0x853d955aCEf822Db058eb8505911ED77F175b99e,0x03e4054B11ad01915257bE53Af03A32Abf7837b9,90000
sfrxETH,frxETH (EXCHANGE RATE),Chainlink,Yes,No,86400,0.5,ChainlinkOracle,0x95aB45875cFFdba1E5f451B950bC2E42c0053f39,0x5E8422345238F34275888049021821E8E08CAa1f,0x98E5a52fB741347199C08a7a3fcF017364284431,90000
SNX,USD,Chainlink,No,No,86400,0.5,ChainlinkOracle,N/A,0x0000000000000000000000000000000000000348,0x054296f0D036b95531B4E14aFB578B80CFb41252,90000
SOL,USD,Chainlink,No,No,86400,0.1,ChainlinkOracle,N/A,0x0000000000000000000000000000000000000348,0x24ceA4b8ce57cdA5058b924B9B9987992450590c,90000
